11.asset_category,,,,
Purpose:High-level categorization of assets for better organization and reporting,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for asset category
name,NOT NULL UNIQUE,VARCHAR(50),,Category name (Electronics Furniture etc.)
description,NULL,TEXT,,Category description
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Category status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
