2.role,,,,
Purpose:Contains information about user roles (e.g. Admin Manager Employee) in the system facilitating role-based access control,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for the role
role_name,NOT NULL UNIQUE,VARCHAR(50),,Name of the role (Admin Manager Employee etc.)
description,NULL,TEXT,,Description of role permissions and responsibilities
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Role status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated 
