21.country,,,,
Purpose:Country information for international operations and address standardization,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for the country
name,NOT NULL UNIQUE,VARCHAR(100),,Country name
iso_code,NOT NULL UNIQUE,CHAR(2),,ISO 2-letter country code
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Country status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
