20.state,,,,
Purpose:State/Province information for geographic hierarchy and regional reporting,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for the state
country_id,FK NOT NULL,INT,1-M,Country ID (Foreign Key referencing country.id)
name,NOT NULL,VARCHAR(100),,State/Province name
code,NULL,VARCHAR(10),,State code or abbreviation
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,State status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
