13.brand,,,,
Purpose:Asset manufacturers and brands for standardization and vendor management,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for brand
name,NOT NULL UNIQUE,VARCHAR(50),,Brand name (Apple Dell HP etc.)
description,NULL,TEXT,,Brand description
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Brand status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
